3318,Bid[1],Building Error Message: Framed Openings should not have TBD openings.,Building Error Message: Framed Openings should not have TBD openings.
3317,Bid[1],Passed,
3316,Bid[1],Passed,
3315,Bid[1],Passed,
3314,Bid[1],Passed,
3313,Bid[1],Passed,
3312,Bid[1],Passed,
3311,Bid[1],Passed,
3310,Bid[1],Passed,
3309,Bid[1],Passed,
3308,No Bid,Passed,There are no current bids for selected customer.
3307,Bid[1],Passed,
3306,Bid[1],Passed,
3305,Bid[1],Passed,
3304,Bid[1],Passed,
3303,Bid[1],Passed,
3302,Bid[1],Passed,
3301,Bid[1],Passed,
3300,Bid[1],Passed,
3299,No Bid,Passed,There are no current bids for selected customer.
3298,Bid[1],Passed,
3297,Bid[1],Passed,
3296,Bid[1],Passed,
3295,Bid[1],Building Error Message: Additional Wall (9x136 Wall) is incomplete.,Building Error Message: Additional Wall (9x136 Wall) is incomplete.
3294,Bid[1],Passed,
3293,Bid[1],Passed,
3292,Bid[1],Passed,
3291,Bid[1],Passed,
3290,Bid[1],Passed,
3289,Bid[1],Passed,
3288,Bid[1],Passed,
3287,Bid[1],Passed,
3286,Bid[1],Building Error Message: ,Building Error Message: 
3285,Bid[1],Passed,
3284,Bid[1],Building Error Message: ,Building Error Message: 
3283,Bid[1],Passed,
3282,Bid[1],Building Error Message: Framed Openings should not have TBD openings.,Building Error Message: Framed Openings should not have TBD openings.
3281,Bid[1],Passed,
3280,No Bid,Passed,There are no current bids for selected customer.
3279,No Bid,Passed,There are no current bids for selected customer.
3278,Bid[1],Building Error Message: ,Building Error Message: 
3277,Bid[1],Passed,
3276,Bid[1],Passed,
3275,Bid[1],Passed,
3274,Bid[1],Building Error Message: ,Building Error Message: 
3273,Bid[1],Passed,
3272,Bid[1],Passed,
3271,Bid[1],Passed,
3270,No Bid,Passed,There are no current bids for selected customer.
3269,Bid[1],Passed,
3268,Bid[1],Passed,
3267,Bid[1],Passed,
3266,Bid[1],Building Error Message: ,Building Error Message: 
3265,Bid[1],Passed,
3264,Bid[1],Passed,
3263,Bid[1],Passed,
3262,Bid[1],Passed,
3261,Bid[1],Passed,
3260,Bid[1],Passed,
3259,Bid[1],Passed,
3258,Bid[1],Passed,
3257,Bid[1],Passed,
3256,Bid[1],Passed,
3255,Bid[1],Passed,
3254,Bid[1],Building Error Message: ,Building Error Message: 
3253,Bid[1],Passed,
3252,Bid[1],Passed,
3251,Bid[1],Building Error Message: ,Building Error Message: 
3250,Bid[1],Passed,
3249,Bid[1],Passed,
3248,Bid[1],Passed,
3247,Bid[1],Passed,
3246,Bid[1],Building Error Message: Framed Openings should not have TBD openings.,Building Error Message: Framed Openings should not have TBD openings.
3244,Bid[1],Passed,
3243,Bid[1],Passed,
3242,Bid[1],Passed,
3241,Bid[1],Passed,
3240,Bid[1],Passed,
3239,Bid[1],Passed,
3238,Bid[1],Passed,
3237,Bid[1],Passed,
3236,Bid[1],Passed,
3235,Bid[1],Passed,
3234,Bid[1],Building Error Message: Framed Openings should not have TBD openings.,Building Error Message: Framed Openings should not have TBD openings.
3233,Bid[1],Building Error Message: Additional Wall (side wall) is incomplete.,Building Error Message: Additional Wall (side wall) is incomplete.
3232,Bid[1],Passed,
3231,Bid[1],Building Error Message: Additional Wall (Rail car Entrance) is incomplete.,Building Error Message: Additional Wall (Rail car Entrance) is incomplete.
3230,Bid[1],Failed,Failed
3229,Bid[1],Passed,
3228,Bid[1],Passed,
3227,Bid[1],Building Error Message: Framed Openings should not have TBD openings.,Building Error Message: Framed Openings should not have TBD openings.
3226,Bid[1],Passed,
3225,Bid[1],Passed,
3224,Bid[1],Passed,
3223,Bid[1],Failed,Failed
3222,Bid[1],Passed,
3221,Bid[1],Passed,
3220,Bid[1],Passed,
3219,Bid[1],Passed,
3218,Bid[1],Passed,
3217,No Bid,Passed,There are no current bids for selected customer.
