Project Id,Bid,Status,
487626,Bid[1],Project Loading Failed,
487623,Bid[1],Project Loading Failed,
487967,Bid[1],Project Loading Failed,
487745,Bid[1],Project Loading Failed,
487895,Bid[1],Project Loading Failed,
487760,Bid[1],Project Loading Failed,
487737,Bid[1],Project Loading Failed,
487785,Bid[1],Project Loading Failed,
487462,Bid[1],Project Loading Failed,
487507,Bid[1],Project Loading Failed,
487529,Bid[1],Project Loading Failed,
487519,Bid[1],Project Loading Failed,
487392,Bid[1],Project Loading Failed,
487355,Bid[1],Project Loading Failed,
487739,Bid[1],Project Loading Failed,
487540,Bid[1],Project Loading Failed,
487453,Bid[1],Project Loading Failed,
487494,Bid[1],Project Loading Failed,
487798,Bid[1],Project Loading Failed,
487873,Bid[1],Project Loading Failed,
487780,Bid[1],Project Loading Failed,
487838,Bid[1],Project Loading Failed,
487578,Bid[1],Project Loading Failed,
487667,Bid[1],Project Loading Failed,
487588,Bid[1],Project Loading Failed,
487577,Bid[1],Project Loading Failed,
487417,Bid[1],Project Loading Failed,
487418,Bid[1],Project Loading Failed,
487649,Bid[1],Project Loading Failed,
487632,Bid[1],Project Loading Failed,
487899,Bid[1],Project Loading Failed,
487783,Bid[1],Project Loading Failed,
487680,Bid[1],Project Loading Failed,
487776,Bid[1],Project Loading Failed,
487512,Bid[1],Project Loading Failed,
487454,Bid[1],Project Loading Failed,
487738,Bid[1],Project Loading Failed,
487837,Bid[1],Project Loading Failed,
487247,Bid[1],Project Loading Failed,
487308,Bid[1],Project Loading Failed,
487856,Bid[1],Project Loading Failed,
487452,Bid[1],Project Loading Failed,
487815,Bid[1],Project Loading Failed,
487648,Bid[1],Project Loading Failed,
487367,Bid[1],Project Loading Failed,
487343,Bid[1],Project Loading Failed,
487492,Bid[1],Project Loading Failed,
487302,Bid[1],Project Loading Failed,
487226,Bid[1],Project Loading Failed,
487446,Bid[1],Project Loading Failed,
487671,Bid[1],Project Loading Failed,
487323,Bid[1],Project Loading Failed,
487222,Bid[1],Project Loading Failed,
487300,Bid[1],Project Loading Failed,
487313,Bid[1],Project Loading Failed,
487278,Bid[1],Project Loading Failed,
487254,Bid[1],Project Loading Failed,
487459,Bid[1],Project Loading Failed,
487699,Bid[1],Project Loading Failed,
487301,Bid[1],Project Loading Failed,
487557,Bid[1],Project Loading Failed,
487757,Bid[1],Project Loading Failed,
487450,Bid[1],Project Loading Failed,
487791,Bid[1],Project Loading Failed,
487628,Bid[1],Project Loading Failed,
487925,Bid[1],Project Loading Failed,
487321,Bid[1],Project Loading Failed,
487387,Bid[1],Project Loading Failed,
487426,Bid[1],Project Loading Failed,
487500,Bid[1],Project Loading Failed,
487645,Bid[1],Project Loading Failed,
487455,Bid[1],Project Loading Failed,
487458,Bid[1],Project Loading Failed,
487596,Bid[1],Project Loading Failed,
487880,Bid[1],Project Loading Failed,
487335,Bid[1],Project Loading Failed,
487711,Bid[1],Project Loading Failed,
487373,Bid[1],Project Loading Failed,
487390,Bid[1],Project Loading Failed,
487432,Bid[1],Project Loading Failed,
487948,Bid[1],Project Loading Failed,
487863,Bid[1],Project Loading Failed,
487348,Bid[1],Project Loading Failed,
487549,Bid[1],Project Loading Failed,
487754,Bid[1],Project Loading Failed,
487991,Bid[1],Project Loading Failed,
487293,Bid[1],Project Loading Failed,
487332,Bid[1],Project Loading Failed,
487434,Bid[1],Project Loading Failed,
487398,Bid[1],Project Loading Failed,
487214,Bid[1],Project Loading Failed,
487441,Bid[1],Project Loading Failed,
487411,Bid[1],Project Loading Failed,
487409,Bid[1],Project Loading Failed,
487496,Bid[1],Project Loading Failed,
487463,Bid[1],Project Loading Failed,
487497,Bid[1],Project Loading Failed,
487339,Bid[1],Project Loading Failed,
487449,Bid[1],Project Loading Failed,
487303,Bid[1],Project Loading Failed,
487502,Bid[1],Project Loading Failed,
487306,Bid[1],Project Loading Failed,
487684,Bid[1],Project Loading Failed,
487359,Bid[1],Project Loading Failed,
487310,Bid[1],Project Loading Failed,
487354,Bid[1],Project Loading Failed,
487224,Bid[1],Project Loading Failed,
487282,Bid[1],Project Loading Failed,
487752,Bid[1],Project Loading Failed,
487935,Bid[1],Project Loading Failed,
487788,Bid[1],Project Loading Failed,
487203,Bid[1],Project Loading Failed,
487569,Bid[1],Project Loading Failed,
487734,Bid[1],Project Loading Failed,
487489,Bid[1],Project Loading Failed,
487969,Bid[1],Project Loading Failed,
487695,Bid[1],Project Loading Failed,
487123,Bid[1],Project Loading Failed,
487228,Bid[1],Project Loading Failed,
487139,Bid[1],Project Loading Failed,
487443,Bid[1],Project Loading Failed,
487635,Bid[1],Project Loading Failed,
487289,Bid[1],Project Loading Failed,
487252,Bid[1],Project Loading Failed,
487393,Bid[1],Project Loading Failed,
487666,Bid[1],Project Loading Failed,
487208,Bid[1],Project Loading Failed,
487444,Bid[1],Project Loading Failed,
487762,Bid[1],Project Loading Failed,
487834,Bid[1],Project Loading Failed,
487758,Bid[1],Project Loading Failed,
487525,Bid[1],Project Loading Failed,
487959,Bid[1],Project Loading Failed,
485640,Bid[1],Project Loading Failed,
487755,Bid[1],Project Loading Failed,
487337,Bid[1],Project Loading Failed,
487806,Bid[1],Project Loading Failed,
487212,Bid[1],Project Loading Failed,
487396,Bid[1],Project Loading Failed,
487423,Bid[1],Project Loading Failed,
487470,Bid[1],Project Loading Failed,
487356,Bid[1],Project Loading Failed,
487976,Bid[1],Project Loading Failed,
487865,Bid[1],Project Loading Failed,
487508,Bid[1],Project Loading Failed,
487503,Bid[1],Project Loading Failed,
487481,Bid[1],Project Loading Failed,
487592,Bid[1],Project Loading Failed,
487437,Bid[1],Project Loading Failed,
487922,Bid[1],Project Loading Failed,
487419,Bid[1],Project Loading Failed,
487350,Bid[1],Project Loading Failed,
487820,Bid[1],Project Loading Failed,
487725,Bid[1],Project Loading Failed,
487320,Bid[1],Project Loading Failed,
487338,Bid[1],Project Loading Failed,
487091,Bid[1],Project Loading Failed,
487275,Bid[1],Project Loading Failed,
487852,Bid[1],Project Loading Failed,
487833,Bid[1],Project Loading Failed,
487777,Bid[1],Project Loading Failed,
487761,Bid[1],Project Loading Failed,
487388,Bid[1],Project Loading Failed,
487333,Bid[1],Project Loading Failed,
487277,Bid[1],Project Loading Failed,
487813,Bid[1],Project Loading Failed,
487375,Bid[1],Project Loading Failed,
487379,Bid[1],Project Loading Failed,
487290,Bid[1],Project Loading Failed,
487177,Bid[1],Project Loading Failed,
487357,Bid[1],Project Loading Failed,
487746,Bid[1],Project Loading Failed,
487530,Bid[1],Project Loading Failed,
487965,Bid[1],Project Loading Failed,
487646,Bid[1],Project Loading Failed,
487875,Bid[1],Project Loading Failed,
487805,Bid[1],Project Loading Failed,
487299,Bid[1],Project Loading Failed,
487195,Bid[1],Project Loading Failed,
487537,Bid[1],Project Loading Failed,
487488,Bid[1],Project Loading Failed,
487103,Bid[1],Project Loading Failed,
487271,Bid[1],Project Loading Failed,
487599,Bid[1],Project Loading Failed,
487188,Bid[1],Project Loading Failed,
487953,Bid[1],Project Loading Failed,
487281,Bid[1],Project Loading Failed,
487168,Bid[1],Project Loading Failed,
487235,Bid[1],Project Loading Failed,
487265,Bid[1],Project Loading Failed,
487894,Bid[1],Project Loading Failed,
487240,Bid[1],Project Loading Failed,
487109,Bid[1],Project Loading Failed,
487246,Bid[1],Project Loading Failed,
487731,Bid[1],Project Loading Failed,
487368,Bid[1],Project Loading Failed,
487257,Bid[1],Project Loading Failed,
